_id,baseYmd,touDivNm,predicted_touNum,signguCode
6763f65f24a37b0ba0df646b,20250123,외국인(c),12.785468101501465,11740
6763f65f24a37b0ba0df646c,20250124,현지인(a),13289.5078125,26110
6763f65f24a37b0ba0df646d,20250124,외지인(b),20961.890625,26110
6763f65f24a37b0ba0df646e,20250124,외국인(c),12.234386444091797,26110
6763f65f24a37b0ba0df646f,20250125,현지인(a),16663.927734375,26140
6763f65f24a37b0ba0df6470,20250125,외지인(b),10331.806640625,26140
6763f65f24a37b0ba0df6471,20250125,외국인(c),11.977655410766602,26140
6763f65f24a37b0ba0df6472,20250126,현지인(a),10740.1298828125,26170
6763f65f24a37b0ba0df6473,20250126,외지인(b),11689.2275390625,26170
6763f65f24a37b0ba0df6474,20250126,외국인(c),18.093769073486328,26170
6763f65f24a37b0ba0df6475,20250127,현지인(a),9775.3759765625,26200
6763f65f24a37b0ba0df6476,20250127,외지인(b),7900.0166015625,26200
6763f65f24a37b0ba0df6477,20250127,외국인(c),13.670098304748535,26200
6763f65f24a37b0ba0df6478,20250128,현지인(a),9603.9189453125,26230
6763f65f24a37b0ba0df6479,20250128,외지인(b),9089.4765625,26230
6763f65f24a37b0ba0df647a,20250128,외국인(c),13.51320743560791,26230
6763f65f24a37b0ba0df647b,20250129,현지인(a),10131.1689453125,26260
6763f65f24a37b0ba0df647c,20250129,외지인(b),10508.8974609375,26260
6763f65f24a37b0ba0df647d,20250129,외국인(c),16.72156524658203,26260
6763f65f24a37b0ba0df647e,20250130,현지인(a),9568.9453125,26290
6763f65f24a37b0ba0df647f,20250130,외지인(b),5968.38330078125,26290
6763f65f24a37b0ba0df6480,20250130,외국인(c),12.785468101501465,26290
6763f65f24a37b0ba0df6481,20250131,현지인(a),13289.5078125,26320
6763f65f24a37b0ba0df6482,20250131,외지인(b),20961.890625,26320
6763f65f24a37b0ba0df6483,20250131,외국인(c),12.234386444091797,26320
6763f65f24a37b0ba0df6484,20250201,현지인(a),16663.927734375,26350
6763f65f24a37b0ba0df6485,20250201,외지인(b),10331.806640625,26350
6763f65f24a37b0ba0df6486,20250201,외국인(c),11.977655410766602,26350
6763f65f24a37b0ba0df6487,20250202,현지인(a),10740.1298828125,26380
6763f65f24a37b0ba0df6488,20250202,외지인(b),11689.2275390625,26380
6763f65f24a37b0ba0df6489,20250202,외국인(c),18.093769073486328,26380
6763f65f24a37b0ba0df648a,20250203,현지인(a),9775.3759765625,26410
6763f65f24a37b0ba0df648b,20250203,외지인(b),7900.0166015625,26410
6763f65f24a37b0ba0df648c,20250203,외국인(c),13.670098304748535,26410
6763f65f24a37b0ba0df648d,20250204,현지인(a),9603.9189453125,26440
6763f65f24a37b0ba0df648e,20250204,외지인(b),9089.4765625,26440
6763f65f24a37b0ba0df648f,20250204,외국인(c),13.51320743560791,26440
6763f65f24a37b0ba0df6490,20250205,현지인(a),10131.1689453125,26470
6763f65f24a37b0ba0df6491,20250205,외지인(b),10508.8974609375,26470
6763f65f24a37b0ba0df6492,20250205,외국인(c),16.72156524658203,26470
6763f65f24a37b0ba0df6493,20250206,현지인(a),9568.9453125,26500
6763f65f24a37b0ba0df6494,20250206,외지인(b),5968.38330078125,26500
6763f65f24a37b0ba0df6495,20250206,외국인(c),12.785468101501465,26500
6763f65f24a37b0ba0df6496,20250207,현지인(a),13289.5078125,26530
6763f65f24a37b0ba0df6497,20250207,외지인(b),20961.890625,26530
6763f65f24a37b0ba0df6498,20250207,외국인(c),12.234386444091797,26530
6763f65f24a37b0ba0df6499,20250208,현지인(a),16663.927734375,26710
6763f65f24a37b0ba0df649a,20250208,외지인(b),10331.806640625,26710
6763f65f24a37b0ba0df649b,20250208,외국인(c),11.977655410766602,26710
6763f65f24a37b0ba0df649c,20250209,현지인(a),10740.1298828125,27110
6763f65f24a37b0ba0df649d,20250209,외지인(b),11689.2275390625,27110
6763f65f24a37b0ba0df649e,20250209,외국인(c),18.093769073486328,27110
6763f65f24a37b0ba0df649f,20250210,현지인(a),8721.0400390625,27140
6763f65f24a37b0ba0df64a0,20250210,외지인(b),20771.44140625,27140
6763f65f24a37b0ba0df64a1,20250210,외국인(c),13.670098304748535,27140
6763f65f24a37b0ba0df64a2,20250211,현지인(a),9603.9189453125,27170
6763f65f24a37b0ba0df64a3,20250211,외지인(b),9089.4765625,27170
6763f65f24a37b0ba0df64a4,20250211,외국인(c),13.51320743560791,27170
6763f65f24a37b0ba0df64a5,20250212,현지인(a),10131.1689453125,27200
6763f65f24a37b0ba0df64a6,20250212,외지인(b),10508.8974609375,27200
6763f65f24a37b0ba0df64a7,20250212,외국인(c),16.72156524658203,27200
6763f65f24a37b0ba0df64a8,20250213,현지인(a),9568.9453125,27230
6763f65f24a37b0ba0df64a9,20250213,외지인(b),5968.38330078125,27230
6763f65f24a37b0ba0df64aa,20250213,외국인(c),12.785468101501465,27230
6763f65f24a37b0ba0df64ab,20250214,현지인(a),13289.5078125,27260
6763f65f24a37b0ba0df64ac,20250214,외지인(b),20961.890625,27260
6763f65f24a37b0ba0df64ad,20250214,외국인(c),12.234386444091797,27260
6763f65f24a37b0ba0df64ae,20250215,현지인(a),16663.927734375,27290
6763f65f24a37b0ba0df64af,20250215,외지인(b),10331.806640625,27290
6763f65f24a37b0ba0df64b0,20250215,외국인(c),11.977655410766602,27290
6763f65f24a37b0ba0df64b1,20250216,현지인(a),10740.1298828125,27710
6763f65f24a37b0ba0df64b2,20250216,외지인(b),11689.2275390625,27710
6763f65f24a37b0ba0df64b3,20250216,외국인(c),18.093769073486328,27710
6763f65f24a37b0ba0df64b4,20250217,현지인(a),9775.3759765625,27720
6763f65f24a37b0ba0df64b5,20250217,외지인(b),7900.0166015625,27720
6763f65f24a37b0ba0df64b6,20250217,외국인(c),13.670098304748535,27720
6763f65f24a37b0ba0df64b7,20250218,현지인(a),9603.9189453125,28110
6763f65f24a37b0ba0df64b8,20250218,외지인(b),9089.4765625,28110
6763f65f24a37b0ba0df64b9,20250218,외국인(c),13.51320743560791,28110
6763f65f24a37b0ba0df64ba,20250219,현지인(a),11735.5185546875,28140
6763f65f24a37b0ba0df64bb,20250219,외지인(b),9226.2314453125,28140
6763f65f24a37b0ba0df64bc,20250219,외국인(c),19.05222511291504,28140
6763f65f24a37b0ba0df64bd,20250220,현지인(a),6955.4697265625,28177
6763f65f24a37b0ba0df64be,20250220,외지인(b),5382.0634765625,28177
6763f65f24a37b0ba0df64bf,20250220,외국인(c),24.126628875732422,28177
6763f65f24a37b0ba0df64c0,20250221,현지인(a),11135.185546875,28185
6763f65f24a37b0ba0df64c1,20250221,외지인(b),36316.92578125,28185
6763f65f24a37b0ba0df64c2,20250221,외국인(c),11.473058700561523,28185
6763f65f24a37b0ba0df64c3,20250222,현지인(a),14448.7177734375,28200
6763f65f24a37b0ba0df64c4,20250222,외지인(b),9461.9814453125,28200
6763f65f24a37b0ba0df64c5,20250222,외국인(c),11.661412239074707,28200
6763f65f24a37b0ba0df64c6,20250223,현지인(a),9129.3994140625,28237
6763f65f24a37b0ba0df64c7,20250223,외지인(b),14354.78125,28237
6763f65f24a37b0ba0df64c8,20250223,외국인(c),28.684003829956055,28237
6763f65f24a37b0ba0df64c9,20250224,현지인(a),6261.939453125,28245
6763f65f24a37b0ba0df64ca,20250224,외지인(b),8489.8740234375,28245
6763f65f24a37b0ba0df64cb,20250224,외국인(c),12.141813278198242,28245
6763f65f24a37b0ba0df64cc,20250225,현지인(a),7642.88916015625,28260
6763f65f24a37b0ba0df64cd,20250225,외지인(b),10047.392578125,28260
6763f65f24a37b0ba0df64ce,20250225,외국인(c),16.49030303955078,28260
6763f65f24a37b0ba0df64cf,20250226,현지인(a),11735.5185546875,28710
6763f65f24a37b0ba0df64d0,20250226,외지인(b),9226.2314453125,28710
6763f65f24a37b0ba0df64d1,20250226,외국인(c),19.05222511291504,28710
6763f65f24a37b0ba0df64d2,20250227,현지인(a),6955.4697265625,28720
6763f65f24a37b0ba0df64d3,20250227,외지인(b),5382.0634765625,28720
6763f65f24a37b0ba0df64d4,20250227,외국인(c),13.962892532348633,28720
6763f65f24a37b0ba0df64d5,20250228,현지인(a),11135.185546875,29110
6763f65f24a37b0ba0df64d6,20250228,외지인(b),36316.92578125,29110
6763f65f24a37b0ba0df64d7,20250228,외국인(c),11.473058700561523,29110
6763f65f24a37b0ba0df64d8,20250301,현지인(a),14448.7177734375,29140
6763f65f24a37b0ba0df64d9,20250301,외지인(b),9461.9814453125,29140
6763f65f24a37b0ba0df64da,20250301,외국인(c),11.661412239074707,29140
6763f65f24a37b0ba0df64db,20250302,현지인(a),9129.3994140625,29155
6763f65f24a37b0ba0df64dc,20250302,외지인(b),14354.78125,29155
6763f65f24a37b0ba0df64dd,20250302,외국인(c),28.684003829956055,29155
6763f65f24a37b0ba0df64de,20250303,현지인(a),6261.939453125,29170
6763f65f24a37b0ba0df64df,20250303,외지인(b),8489.8740234375,29170
6763f65f24a37b0ba0df64e0,20250303,외국인(c),12.141813278198242,29170
6763f65f24a37b0ba0df64e1,20250304,현지인(a),7642.88916015625,29200
6763f65f24a37b0ba0df64e2,20250304,외지인(b),10047.392578125,29200
6763f65f24a37b0ba0df64e3,20250304,외국인(c),16.49030303955078,29200
6763f65f24a37b0ba0df64e4,20250305,현지인(a),11735.5185546875,30110
6763f65f24a37b0ba0df64e5,20250305,외지인(b),9226.2314453125,30110
6763f65f24a37b0ba0df64e6,20250305,외국인(c),19.05222511291504,30110
6763f65f24a37b0ba0df64e7,20250306,현지인(a),6955.4697265625,30140
6763f65f24a37b0ba0df64e8,20250306,외지인(b),5382.0634765625,30140
6763f65f24a37b0ba0df64e9,20250306,외국인(c),13.962892532348633,30140
6763f65f24a37b0ba0df64ea,20250307,현지인(a),11135.185546875,30170
6763f65f24a37b0ba0df64eb,20250307,외지인(b),36316.92578125,30170
6763f65f24a37b0ba0df64ec,20250307,외국인(c),11.473058700561523,30170
6763f65f24a37b0ba0df64ed,20250308,현지인(a),14448.7177734375,30200
6763f65f24a37b0ba0df64ee,20250308,외지인(b),9461.9814453125,30200
6763f65f24a37b0ba0df64ef,20250308,외국인(c),11.661412239074707,30200
6763f65f24a37b0ba0df64f0,20250309,현지인(a),9129.3994140625,30230
6763f65f24a37b0ba0df64f1,20250309,외지인(b),14354.78125,30230
6763f65f24a37b0ba0df64f2,20250309,외국인(c),28.684003829956055,30230
6763f65f24a37b0ba0df64f3,20250310,현지인(a),6261.939453125,31110
6763f65f24a37b0ba0df64f4,20250310,외지인(b),8489.8740234375,31110
6763f65f24a37b0ba0df64f5,20250310,외국인(c),12.141813278198242,31110
